"path","class","raw_apostrophe_char","function_quote","autoload","dump_or_loaddefs","native_or_module","requires"
"abbrev.el","C","0","1","0","0","0","cl-lib;obarray"
"align.el","D","0","1","1","0","0","align"
"allout-widgets.el","D","0","1","1","0","0","allout;cl-lib;wid-edit;widget"
"allout.el","D","1","1","1","0","0","epa;epg"
"ansi-color.el","D","0","1","1","0","0",""
"ansi-osc.el","D","0","1","1","0","0",""
"apropos.el","D","0","1","1","1","0","cl-lib"
"arc-mode.el","D","0","1","1","0","0","cl-lib;subr-x"
"array.el","D","0","1","1","0","0",""
"auth-source-pass.el","D","0","1","1","0","0","auth-source;cl-lib;seq;subr-x;url-parse"
"auth-source.el","D","0","1","1","0","0","cl-lib;eieio;epg;icons;json;password-cache;secrets"
"autoinsert.el","D","0","1","1","0","0","finder;seq"
"autorevert.el","D","0","1","1","0","0","cl-lib;filenotify;timer"
"avoid.el","D","0","1","1","0","0","cl-lib"
"battery.el","D","1","1","1","0","0","cl-lib;dbus"
"bind-key.el","D","0","0","1","0","0","bind-key;cl-lib;easy-mmode"
"bindings.el","D","0","1","1","0","0",""
"bookmark.el","D","0","1","1","0","0","cl-lib;fringe;pp;tabulated-list;text-property-search"
"bs.el","D","0","1","1","0","0",""
"buff-menu.el","D","0","1","1","0","0","tabulated-list"
"button.el","C","0","1","0","0","0",""
"calc/calc-aent.el","D","0","1","1","0","0","calc;calc-ext;calc-macs;calccomp"
"calc/calc-alg.el","C","0","1","0","0","0","calc-ext;calc-macs"
"calc/calc-arith.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-bin.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-comb.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-cplx.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-embed.el","D","0","1","1","0","0","calc-ext;calc-macs;cl-lib;thingatpt"
"calc/calc-ext.el","D","1","1","1","0","0","calc;calc-aent;calc-alg;calc-arith;calc-bin;calc-comb;calc-cplx;calc-embed;calc-fin;calc-forms;calc-frac;calc-funcs;calc-graph;calc-help;calc-incom;calc-keypd;calc-lang;calc-macs;calc-map;calc-math;calc-misc;calc-mode;calc-mtx;calc-poly;calc-prog;calc-rewr;calc-rules;calc-sel;calc-stat;calc-store;calc-stuff;calc-trail;calc-undo;calc-units;calc-vec;calc-yank;calcalg2;calcalg3;calccomp;calcsel2;cl-lib"
"calc/calc-fin.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-forms.el","A","0","0","0","0","0","cal-dst;calc-ext;calc-macs"
"calc/calc-frac.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-funcs.el","A","0","0","0","0","0","calc-ext;calc-macs;cl-lib"
"calc/calc-graph.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-help.el","C","1","1","0","0","0","calc-ext;calc-macs;info"
"calc/calc-incom.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-keypd.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-lang.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-loaddefs.el","E","0","1","1","1","1",""
"calc/calc-macs.el","C","0","1","0","0","0",""
"calc/calc-map.el","C","0","1","0","0","0","calc-ext;calc-macs"
"calc/calc-math.el","A","0","0","0","0","0","calc-ext;calc-macs;cl-lib"
"calc/calc-menu.el","A","0","0","0","0","0","calc;calc-alg;calc-arith;calc-bin;calc-comb;calc-cplx;calc-ext;calc-frac;calc-funcs;calc-graph;calc-lang;calc-map;calc-math;calc-misc;calc-mode;calc-mtx;calc-stat;calc-store;calc-undo;calc-units;calc-vec;calc-yank;calcalg2;calcalg3"
"calc/calc-misc.el","D","1","1","1","0","0","calc;calc-arith;calc-ext;calc-macs;cl-lib"
"calc/calc-mode.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-mtx.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-nlfit.el","A","0","0","0","0","0","calc-arith;calcalg3"
"calc/calc-poly.el","C","0","1","0","0","0","calc-ext;calc-macs"
"calc/calc-prog.el","C","1","1","0","0","0","calc-ext;calc-macs"
"calc/calc-rewr.el","C","0","1","0","0","0","calc-ext;calc-macs"
"calc/calc-rules.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-sel.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-stat.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-store.el","C","0","1","0","0","0","calc-ext;calc-macs"
"calc/calc-stuff.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-trail.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calc/calc-undo.el","D","0","0","1","0","0","calc-ext;calc-macs"
"calc/calc-units.el","C","0","1","0","0","0","calc-alg;calc-ext;calc-macs"
"calc/calc-vec.el","C","0","1","0","0","0","calc-ext;calc-macs"
"calc/calc-yank.el","D","0","1","1","0","0","calc-ext;calc-macs"
"calc/calc.el","D","1","1","1","0","0","calc-bin;calc-ext;calc-macs;calc-menu;rect"
"calc/calcalg2.el","C","0","1","0","0","0","calc-ext;calc-macs"
"calc/calcalg3.el","C","0","1","0","0","0","calc-ext;calc-macs;calc-nlfit"
"calc/calccomp.el","C","0","1","0","0","0","calc-ext;calc-macs"
"calc/calcsel2.el","A","0","0","0","0","0","calc-ext;calc-macs"
"calculator.el","D","1","1","1","0","0","cl-lib;ehelp;electric"
"calendar/appt.el","D","0","1","1","0","0","diary-lib"
"calendar/cal-bahai.el","D","0","1","1","0","0","calendar"
"calendar/cal-china.el","D","0","1","1","0","0","cal-julian;calendar;lunar;solar"
"calendar/cal-coptic.el","D","0","1","1","0","0","calendar"
"calendar/cal-dst.el","D","0","1","1","0","0","calendar"
"calendar/cal-french.el","C","0","1","0","0","0","calendar"
"calendar/cal-hebrew.el","D","0","0","1","0","0","calendar;solar"
"calendar/cal-html.el","D","0","0","1","0","0","calendar;diary-lib"
"calendar/cal-islam.el","D","0","0","1","0","0","calendar"
"calendar/cal-iso.el","A","0","0","0","0","0","calendar"
"calendar/cal-julian.el","A","0","0","0","0","0","calendar"
"calendar/cal-loaddefs.el","E","0","0","1","1","1",""
"calendar/cal-mayan.el","A","0","0","0","0","0","calendar"
"calendar/cal-menu.el","D","0","0","1","0","0","calendar"
"calendar/cal-move.el","A","0","0","0","0","0","calendar"
"calendar/cal-persia.el","D","0","1","1","0","0","calendar"
"calendar/cal-tex.el","D","0","0","1","0","0","calendar"
"calendar/cal-x.el","A","0","0","0","0","0","calendar"
"calendar/calendar.el","D","0","1","1","0","0","cal-menu;subr-x"
"calendar/diary-lib.el","D","0","1","1","0","0",",feature;calendar"
"calendar/diary-loaddefs.el","E","0","0","1","1","1",""
"calendar/holiday-loaddefs.el","E","0","0","1","1","1",""
"calendar/holidays.el","D","0","0","1","0","0","calendar"
"calendar/icalendar.el","D","0","0","1","0","0","calendar;diary-lib"
"calendar/iso8601.el","A","0","0","0","0","0","cl-lib;time-date"
"calendar/lunar.el","D","0","0","1","0","0","cal-dst;cal-julian;calendar;solar"
"calendar/parse-time.el","D","0","0","1","0","0","cl-lib;iso8601;subr-x"
"calendar/solar.el","D","0","1","1","0","0","cal-dst;cal-julian;calendar"
"calendar/time-date.el","D","0","1","1","0","0","cl-lib;subr-x"
"calendar/timeclock.el","D","0","1","1","0","0","cl-lib;timeclock"
