rank,call_freq,name,type,layer,nelisp_coverage
1,59071,setq,special,runtime,source-unbootstrapped
2,52839,if,special,runtime,source-unbootstrapped
3,35454,let,special,runtime,source-unbootstrapped
4,32147,and,special,runtime,source-unbootstrapped
5,25346,or,special,runtime,source-unbootstrapped
6,23184,car,fn,runtime,runtime-ok
7,21357,not,fn,runtime,runtime-ok
8,20810,eq,fn,runtime,runtime-ok
9,17638,point,fn,substrate/ui,MISSING
10,16968,cdr,fn,runtime,runtime-ok
11,15127,list,fn,runtime,runtime-ok
12,14516,nth,fn,runtime,runtime-ok
13,13588,defvar,special,runtime,source-unbootstrapped
14,13544,goto-char,fn,substrate/ui,source-unbootstrapped
15,11779,interactive,special,runtime,MISSING
16,11728,while,special,runtime,MISSING
17,11041,concat,fn,runtime,runtime-ok
18,10475,cons,fn,runtime,runtime-ok
19,9931,cond,special,runtime,source-unbootstrapped
20,9226,let*,special,runtime,source-unbootstrapped
21,8596,insert,fn,substrate/ui,source-unbootstrapped
22,8533,progn,special,runtime,source-unbootstrapped
23,8238,format,fn,runtime,runtime-ok
24,7993,define-key,fn,substrate/ui,MISSING
25,7940,save-excursion,special,runtime,source-unbootstrapped
26,7734,autoload,fn,runtime,MISSING
27,6784,point-min,fn,substrate/ui,source-unbootstrapped
28,5919,length,fn,runtime,runtime-ok
29,5670,memq,fn,runtime,runtime-ok
30,5188,funcall,fn,runtime,runtime-ok
31,5081,looking-at,fn,substrate/ui,MISSING
32,4980,require,fn,runtime,runtime-ok
33,4898,equal,fn,runtime,runtime-ok
34,4830,string-match,fn,runtime,MISSING
35,4775,point-max,fn,substrate/ui,source-unbootstrapped
36,4065,aref,fn,runtime,runtime-ok
37,3970,null,fn,runtime,runtime-ok
38,3770,match-end,fn,substrate/ui,MISSING
39,3700,put,fn,runtime,source-unbootstrapped
40,3694,re-search-forward,fn,substrate/ui,MISSING
41,3570,mapcar,fn,runtime,runtime-ok
42,3568,match-beginning,fn,substrate/ui,MISSING
43,3404,current-buffer,fn,substrate/ui,source-unbootstrapped
44,3266,defconst,special,runtime,MISSING
45,3250,stringp,fn,runtime,runtime-ok
46,3171,forward-line,fn,substrate/ui,MISSING
47,3077,assq,fn,runtime,runtime-ok
48,2995,substring,fn,runtime,runtime-ok
49,2604,string,fn,runtime,runtime-ok
50,2559,append,fn,runtime,runtime-ok
51,2519,assoc,fn,runtime,runtime-ok
52,2406,apply,fn,runtime,runtime-ok
